"filename", "language", "C#", "YAML", "XML", "Docker", "Ignore", "Markdown", "TypeScript JSX", "JSON", "TypeScript", "Terraform", "terraform-vars", "JSON with Comments", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/ls_framework_core/variables.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 5, 6, 67
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/endpoint_sg.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 6, 38
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/gateways.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 6, 30
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/outputs.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/routing.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 14, 21, 104
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/subnets.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 11, 24, 119
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/variables.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 6, 41
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/vpc_endpoints.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 32, 109
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/network/vpc_main.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 5, 16
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/security/iam_global.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 23, 34, 136
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/security/kms.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/security/outputs.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/modules/security/variables.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/aboubacarsogoba/Desktop/LSFramework/LS.Infrastructure/LS.Terraform/provider.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 15, 3, 30
"/Users/aboubacarsogoba/Desktop/LSFramework/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aboubacarsogoba/Desktop/LSFramework/docker-compose.yml", "YAML", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 92
